pignum,treatment,hour,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate,total
141,Bglu,0,73.82267999999999,38.06802,0.40752,16.06035,0.38994000000000006,2.11698,0.51996,0.22446,0.23498999999999998,0.77847,0,132.62337
144,Bglu,0,92.13618,42.231660000000005,0.57768,16.885289999999998,0.63153,2.41554,0.52056,0.34689,0.2214,0.4719,1.77687,158.21550000000002
144,Bglu,24,141.13329,92.22807,2.9430300000000003,65.1855,4.76352,15.90864,1.0877999999999999,0,0.88533,1.76427,0,325.89945
152,Acid,0,77.26665,46.28772,0.64485,15.63084,0.85293,2.2397099999999996,0.40296,0,0.2718,0.32177999999999995,0.64983,144.56907
152,Acid,24,123.68364,101.24022000000001,2.71119,73.48965,4.64025,22.86159,1.0725,0,0.88473,3.19494,0,333.77871
160,control,0,86.81627999999999,41.13531,0.55281,23.28138,0.55545,3.0015,1.2659699999999998,0.25751999999999997,0.17292,1.12953,0.29871000000000003,158.46738
160,control,24,125.61165,82.65726000000001,3.8078700000000003,71.33517,6.318239999999999,18.026220000000002,4.18248,0,1.33278,2.2866,0,315.55827
175,RCS,0,69.66522,39.290760000000006,0.54084,18.029400000000003,0.8203799999999999,4.3110599999999994,0.59463,0.26826,0.26549999999999996,1.1034899999999999,1.00935,135.89889
175,RCS,24,142.21197,120.17061000000001,2.48007,61.186350000000004,4.35624,27.371700000000004,2.31792,0.42786,0.46814999999999996,1.07061,0,362.06148
178,Acid,0,74.52941999999999,41.17326,0.7637100000000001,20.63277,0.7283999999999999,4.74123,0.7584000000000001,0.30639,0.18858,0.8269500000000001,1.2937500000000002,145.94286
178,Acid,24,140.29488,106.85130000000001,2.72376,66.07287,4.3338,24.95379,4.10304,0,0.93063,1.84098,0,352.10505
181,RPS,0,74.67276000000001,27.43173,0.55941,26.147640000000003,0.47106,5.154,0.8010300000000001,0.41424000000000005,0.15684,0.6237900000000001,1.17027,137.60277
181,RPS,24,137.61360000000002,77.94846,3.2248799999999997,65.63691,5.00412,20.97009,4.34373,0,0.94182,1.8294000000000001,0,317.51301
191,control,0,75.39519,54.43812,0.5015999999999999,13.30953,0.50778,3.7089600000000003,0.50676,0.29286,0.11397000000000002,0.30039,0.66726,149.74242
191,control,24,121.27122,101.25402,2.49564,31.50786,4.0532699999999995,16.92579,1.5852899999999999,0,0.94272,1.91418,0,281.94998999999996
198,RCS,0,72.11988,36.81267,0.6715800000000001,14.459220000000002,0.8115299999999999,2.87376,0.45003000000000004,0.2784,0.15645,0.7902899999999999,1.16934,130.59315
198,RCS,24,137.84328,111.62424000000001,3.3636,76.38405,5.8697099999999995,29.348910000000004,1.8782999999999999,0,0.8349900000000001,2.02002,0,369.1671
211,Acid,0,79.73277,44.80386,0.49881,19.855620000000002,0.53034,2.47827,0.46095,0.29367,0,0.72738,0.35126999999999997,149.73294
211,Acid,24,114.62448,92.98464,2.94564,64.35999000000001,4.57509,14.00892,1.32639,0,0.99633,1.2936299999999998,0,297.11511
219,Zn+Cu,0,66.47847,32.650259999999996,0.48159,26.440170000000002,0.57891,12.524159999999998,0.65514,0.65028,0.3468,9.63405,1.7613600000000003,152.20119
219,Zn+Cu,24,61.119749999999996,14.41134,0.62793,98.60364,1.87326,43.791,4.17465,0.71751,0.21449999999999997,36.39936,2.15175,264.08468999999997
224,control,0,87.36972,43.18929,0.69525,16.131300000000003,0.71085,1.82016,0.68118,0.46176,0.20616,0.8474999999999999,1.2915,153.40467
224,control,24,146.1276,107.10249000000002,4.3438799999999995,62.613839999999996,7.489320000000001,15.67194,1.43241,0,1.58583,0.9315,0,347.29881
226,Bglu,0,85.19139,50.391149999999996,0.46787999999999996,20.68785,0.44772,6.051959999999999,0.72468,0.23397,0.17487,0.6252300000000001,0,164.9967
226,Bglu,24,124.07963999999998,93.63882,3.19632,50.1699,4.9653599999999996,21.86211,3.3810000000000002,0,0.94395,1.9278300000000002,0,304.16492999999997
228,Bglu,0,85.33926,46.69725,0.31572,27.00114,0.28803,8.79783,0.58155,0.31269,0.19319999999999998,0.6339899999999999,1.06698,171.22764
228,Bglu,24,154.50387,107.96243999999999,2.62176,69.13227,4.371449999999999,29.64867,1.88706,0,0.67287,0.8893800000000001,0,371.68976999999995
237,Bglu,0,98.80958999999999,42.86265,0.66567,17.19471,0.57906,1.45032,0.45714,0.45453,0.12675,0.33626999999999996,0.8963999999999999,163.83309
237,Bglu,24,146.31033000000002,93.26838,3.97185,62.98491,7.280099999999999,17.74305,1.18053,0,1.1888699999999999,2.12916,0,336.05718
240,Bglu,0,89.96244,43.8297,0.50295,25.81809,0.58098,4.54491,0.74517,0.34629,0.30456,1.22487,1.42482,169.28478
240,Bglu,24,143.08187999999998,107.87268,3.0945,85.94568,5.47194,28.302480000000003,4.3432200000000005,0,0.68004,2.0507999999999997,0,380.84322
244,RPS,0,83.47251,41.962019999999995,0.57555,14.92482,0.45222000000000007,2.95992,0.56292,0.21744000000000002,0.18195,0.39216,3.2244,148.92591
244,RPS,24,142.93128000000002,97.92905999999999,3.2278199999999995,52.65222,5.32221,22.23192,2.89863,0,1.08921,2.54076,0,330.82311000000004
253,Bglu,0,101.5854,49.208189999999995,0.43887,31.411530000000003,0.4437,6.625109999999999,0.78228,0.29991,0.19224,0.8916299999999999,1.0708199999999999,192.94968
253,Bglu,24,172.371,133.53771,2.02635,69.58082999999999,3.2227499999999996,25.378439999999998,2.83974,0,0.39642,1.91862,0,411.27186
265,Zn+Cu,24,130.20239999999998,73.83564,1.7638800000000001,57.64425,2.69871,21.80319,2.14722,0.25191,0.39752999999999994,3.78984,0,294.53457000000003
295,Zn+Cu,0,84.06252,31.7136,0,21.595019999999998,0.19722,5.52675,0.66042,0.6557999999999999,0.1482,0.43250999999999995,1.5806999999999998,146.57274
295,Zn+Cu,24,142.6539,69.96192,1.26183,48.27726,1.72797,18.50754,1.54392,0.23073000000000002,0.36729,2.5103999999999997,0,287.04276
321,RPS,0,87.04902,48.41664,0.43479,25.37148,0.43029,6.39942,1.0167,0.44742,0.2097,0.5962799999999999,0.69072,171.06246
321,RPS,24,147.06333,105.68943,3.67875,66.99033,6.34368,36.45492,4.62399,0,0.53082,1.6445100000000001,0,373.01976
326,Zn+Cu,0,85.04721,50.42214,0.30039,18.783929999999998,0.2952,4.79331,0.50793,0.65154,0.15513,1.07652,1.30557,163.33886999999999
326,Zn+Cu,24,133.08009,81.83940000000001,2.4546900000000003,56.50137,3.7614,23.25333,1.33881,0.33726,0.65211,8.709900000000001,0,311.92836
337,control,0,76.08312,42.21171,0.7916099999999999,15.97935,0.70179,3.6781500000000005,0.49868999999999997,0.31422,0.24347999999999997,1.0201799999999999,0.8052299999999999,142.32753
337,control,24,155.69171999999998,123.73329000000001,3.72567,58.3263,5.9043600000000005,23.67261,1.51266,0.27363,0.92805,2.51781,0,376.2861
345,control,0,82.73337000000001,51.462869999999995,0.48203999999999997,17.604570000000002,0.5369700000000001,3.2481599999999995,0.47661000000000003,0.22071,0.16326000000000002,0.63564,0,157.5642
345,control,24,131.02062,106.63560000000001,2.75367,49.0257,4.50465,21.0987,2.04726,0.21416999999999997,0.8110200000000001,2.5863,0,320.69769
348,Acid,0,69.38283,36.2766,0.30962999999999996,9.461939999999998,0.36117,1.26024,0.45465,0.38535,0.15039,0.70668,1.39881,120.14829
348,Acid,24,139.19391000000002,109.77849,1.78584,49.380810000000004,2.9842199999999997,25.329569999999997,0.5879399999999999,0,0.48066,0,0,329.52144
355,RPS,0,79.22685,48.513450000000006,0.44865,25.71651,0.48878999999999995,4.85379,0.7775400000000001,0.30479999999999996,0.27078,0.73128,0.35964,161.69208
355,RPS,24,119.16212999999999,104.30874,3.08217,64.56225,5.49507,31.48314,3.89967,0.27585000000000004,0.86151,1.81683,0,334.94736
361,Acid,0,67.17887999999999,41.060249999999996,0.65823,19.79112,0.67644,4.51206,0.48363,0,0.17457,0.36941999999999997,0.50142,135.40602
361,Acid,24,134.4786,108.22446000000001,3.0692399999999997,65.14218,5.25951,27.63084,2.28747,0,0.8056800000000001,0.50034,0.45846000000000003,347.85677999999996
373,RPS,0,85.15593,42.89112,0.3474,28.51692,0.34137,7.01178,0.75759,0.35814,0.25299,0.64848,1.03158,167.31330000000003
373,RPS,24,164.80311,102.11798999999999,2.98116,84.99654000000001,5.57679,37.10451,2.81193,0.22802999999999998,0.67608,2.6206199999999997,0,403.91676000000007
378,Acid,0,74.35233,49.6227,0.30657,23.13504,0.30219,7.72587,1.0722900000000002,0.24992999999999999,0.14853,0.8328300000000001,0,157.74828
378,Acid,24,125.60166000000001,123.98883000000001,1.85616,56.445719999999994,3.1033799999999996,25.70661,4.11165,0,0.51498,1.5693000000000001,0,342.89829
392,RPS,0,68.50779,38.63922,0.56166,27.47772,0.71649,9.711929999999999,1.6179000000000001,0.26991,0.24861,0.8616,1.01301,149.62584
392,RPS,24,132.90246000000002,108.85833,2.25045,57.52299000000001,3.59544,33.10392,9.67041,0,0.61254,1.78476,0,350.30129999999997
397,RCS,0,84.28191,44.27541,0.38973,17.32215,0.42393,3.7944899999999997,0.6256200000000001,0.58446,0.19005,0.53625,1.07268,153.49668
397,RCS,24,128.63016,101.00058,1.9874999999999998,58.883579999999995,3.23226,24.304740000000002,1.85412,0,0.41907000000000005,0.93471,0,321.24672
419,control,0,98.49287999999999,60.81018,0.63747,24.8049,0.6524099999999999,3.55572,0.49821,0.27297,0.2223,0.89922,0,190.84626
419,control,24,135.08706,115.12880999999999,2.90685,62.53494,5.39013,23.94762,2.3542199999999998,0,0.8308200000000001,1.64688,0,349.82733
422,Zn+Cu,0,98.45739,48.70944,0.5451,27.908610000000003,0.45239999999999997,6.53217,0.89787,0.24764999999999998,0.18591,0.31395,0.40542,184.65591
422,Zn+Cu,24,152.51082,87.52853999999999,3.36189,69.35295,5.4137699999999995,33.46743,4.61796,0,0.8694600000000001,1.71021,0,358.83303
426,Acid,0,86.35719,39.27294,0.34917,21.53151,0.30378,3.50061,0.6849000000000001,0.7188,0.13485,0.6372599999999999,1.27941,154.77042
426,Acid,24,143.76405,104.41134000000001,1.9778700000000002,56.833169999999996,3.16047,17.67819,1.3708500000000001,0,0.47268,1.0583399999999998,0,330.72695999999996
432,Zn+Cu,0,86.59734,38.61417,0.32757,15.99594,0.35145000000000004,2.19882,0.46097999999999995,0.27405,0.18705,0.85779,5.88039,151.74555
432,Zn+Cu,24,130.57029,73.78398,2.5134600000000002,60.38178,4.36416,23.19423,1.30224,0.22419,0.15537,10.07988,0,306.56958
450,Zn+Cu,0,84.76716,42.1662,0.57732000000000006,14.77335,0.53739,1.0997700000000001,0.38273999999999997,0.51513,0,0.6435599999999999,1.38495,146.84757000000002
450,Zn+Cu,24,135.92322000000001,88.62279,2.7688800000000002,57.404669999999996,4.11069,8.90013,0.68652,0,0.82722,0.74232,0,299.98644
453,RCS,0,102.07803,54.66453,0.2574,15.86721,0.26427,2.00286,0.40224000000000004,0,0.25665,0.5869800000000001,0.32639999999999997,176.70657
141,Bglu,24,119.90769,103.76436000000001,3.5073,70.68972,5.72016,19.412309999999998,1.95975,0,1.0527,2.1361499999999998,0.5388299999999999,328.68897000000004
