pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,Salmonella,treatment,treatXtime,log_sal,time_point_fact
65,21,29.42,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
119,21,30.66,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
138,21,26.32,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
175,21,28.9,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
198,21,25.66,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
397,21,36.3,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
453,21,35.56,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
469,21,29.62,NA,NA,NA,NA,NA,NA,50,RCS,RCS_21,1.69897000433602,21
6,21,28.04,NA,NA,NA,NA,NA,NA,50,Bglu,Bglu_21,1.69897000433602,21
144,21,26.78,NA,NA,NA,NA,NA,NA,50,Bglu,Bglu_21,1.69897000433602,21
228,21,26.06,NA,NA,NA,NA,NA,NA,50,Bglu,Bglu_21,1.69897000433602,21
240,21,23.1,NA,NA,NA,NA,NA,NA,0,Bglu,Bglu_21,0,21
253,21,28.8,NA,NA,NA,NA,NA,NA,50,Bglu,Bglu_21,1.69897000433602,21
461,21,25.92,NA,NA,NA,NA,NA,NA,0,Bglu,Bglu_21,0,21
8,21,33.78,NA,NA,NA,NA,NA,NA,0,Bglu,Bglu_21,0,21
141,21,22.52,NA,NA,NA,NA,NA,NA,0,Bglu,Bglu_21,0,21
226,21,22.4,NA,NA,NA,NA,NA,NA,50,Bglu,Bglu_21,1.69897000433602,21
237,21,32.84,NA,NA,NA,NA,NA,NA,0,Bglu,Bglu_21,0,21
